# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.39
2                       2.38
4                       2.37
8                       2.37
16                      2.38
32                      2.38
64                      2.39
128                     2.41
256                     2.97
512                     3.03
1024                    3.12
2048                    3.28
4096                    3.44
8192                    5.78
16384                   6.30
32768                   6.98
65536                   8.40
131072                 11.27
262144                 16.92
524288                 28.20
1048576                50.68
