# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.39
2                       2.38
4                       2.38
8                       2.38
16                      2.38
32                      2.38
64                      2.39
128                     2.41
256                     2.98
512                     3.02
1024                    3.12
2048                    3.28
4096                    3.46
8192                    5.78
16384                   6.13
32768                   6.89
65536                   8.37
131072                 11.20
262144                 16.94
524288                 28.19
1048576                50.68
