# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.39
2                       2.38
4                       2.37
8                       2.37
16                      2.38
32                      2.37
64                      2.39
128                     2.41
256                     2.97
512                     3.03
1024                    3.11
2048                    3.27
4096                    3.45
8192                    5.79
16384                   6.23
32768                   6.98
65536                   8.35
131072                 11.24
262144                 16.93
524288                 28.22
1048576                50.68
