# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.43
2                       2.41
4                       2.41
8                       2.41
16                      2.42
32                      2.41
64                      2.42
128                     2.45
256                     3.02
512                     3.07
1024                    3.15
2048                    3.33
4096                    3.53
8192                    5.88
16384                   6.39
32768                   7.05
65536                   8.53
131072                 11.33
262144                 17.00
524288                 28.30
1048576                50.75
